2025-11-07 13:52:19 [INFO] (camera_logger_20251107_135219): Camera session ready with label: ses_2025-11-07T13:52:20.087Z
2025-11-07 13:54:14 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['recorded_at', 'frame_idx', 'marker_id', 'rvec_x', 'rvec_y', 'rvec_z', 'tvec_x', 'tvec_y', 'tvec_z', 'image_path']
2025-11-07 13:54:25 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523653.859267', '62', '2', '3.0071140998916173', '0.005797894401419339', '-0.2711525388005699', '0.09325339682806223', '0.08378124903616734', '1.1805355165388818', 'data/sessions/aruco_session_20251107_075407/frames/f000062.jpg']
2025-11-07 13:54:25 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523653.947870', '63', '2', '3.003418307895146', '0.009334644285798516', '-0.4389684960223206', '0.09151726220865827', '0.08203368751112498', '1.1592519606446003', 'data/sessions/aruco_session_20251107_075407/frames/f000063.jpg']
2025-11-07 13:54:25 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523654.036100', '64', '2', '-3.109581518996959', '0.04088523958595693', '0.028993952293062432', '0.09251070803194368', '0.08292013308405853', '1.1682516369208824', 'data/sessions/aruco_session_20251107_075407/frames/f000064.jpg']
2025-11-07 13:54:25 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523654.124845', '65', '2', '-3.1750510911068393', '-0.009501439800899396', '-0.19656897170414075', '0.09124459396467527', '0.08135709493702678', '1.1464994526636731', 'data/sessions/aruco_session_20251107_075407/frames/f000065.jpg']
2025-11-07 13:54:25 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523654.213661', '66', '2', '-3.171619249360006', '-0.015543422890504598', '-0.34788291223171974', '0.09171417489614976', '0.08137848381175347', '1.1468399332597787', 'data/sessions/aruco_session_20251107_075407/frames/f000066.jpg']
2025-11-07 13:54:25 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523654.302315', '67', '2', '3.030498098304329', '0.019661793734004847', '0.1088638024331076', '0.09303821171694904', '0.08240624415614568', '1.158566794185961', 'data/sessions/aruco_session_20251107_075407/frames/f000067.jpg']
2025-11-07 13:54:26 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523654.390990', '68', '2', '-3.1715221783341945', '-0.015529860336927352', '-0.34702639270462565', '0.09255231953573503', '0.08137772679666726', '1.146832367948449', 'data/sessions/aruco_session_20251107_075407/frames/f000068.jpg']
2025-11-07 13:54:26 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523654.480168', '69', '2', '-3.1715221783341945', '-0.015529860336927352', '-0.34702639270462565', '0.09255231953573503', '0.08137772679666726', '1.146832367948449', 'data/sessions/aruco_session_20251107_075407/frames/f000069.jpg']
2025-11-07 13:54:26 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523654.568789', '70', '2', '2.9578958390748746', '0.017444274656334524', '-0.5246769581280649', '0.09366967765755095', '0.08187980123892082', '1.1572006034202758', 'data/sessions/aruco_session_20251107_075407/frames/f000070.jpg']
2025-11-07 13:54:26 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523654.658057', '71', '2', '-3.1653587019131786', '-0.028661980163423438', '-0.20840024797678094', '0.09457705513910585', '0.08246158940072075', '1.1590611803264679', 'data/sessions/aruco_session_20251107_075407/frames/f000071.jpg']
2025-11-07 13:54:26 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523654.748141', '72', '2', '3.0016923813565275', '0.00940788985843331', '-0.44491160936359503', '0.09490496361612485', '0.08202963399351566', '1.1592132859929447', 'data/sessions/aruco_session_20251107_075407/frames/f000072.jpg']
2025-11-07 13:54:27 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523654.838132', '73', '2', '-3.171328008195343', '-0.015502460894726566', '-0.3453219874582995', '0.0942285822408055', '0.08137619543185175', '1.1468171754255492', 'data/sessions/aruco_session_20251107_075407/frames/f000073.jpg']
2025-11-07 13:54:27 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523654.928481', '74', '2', '-3.1650068672438403', '-0.02861701196586581', '-0.2070199979089963', '0.09627060193658865', '0.08245950634517701', '1.1590382723560737', 'data/sessions/aruco_session_20251107_075407/frames/f000074.jpg']
2025-11-07 13:54:27 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523655.018492', '75', '2', '-3.13594318020649', '-0.01772570637311449', '0.3441418734571515', '0.09739252921975967', '0.08328781117101915', '1.1736345150871854', 'data/sessions/aruco_session_20251107_075407/frames/f000075.jpg']
2025-11-07 13:54:27 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523655.108705', '76', '2', '-3.173807874624162', '-0.009400547944512453', '-0.19262507910263282', '0.09626975533443496', '0.08135068607969369', '1.1464271308002119', 'data/sessions/aruco_session_20251107_075407/frames/f000076.jpg']
2025-11-07 13:54:27 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523655.198189', '77', '2', '3.089861690242558', '-0.0014143443863562765', '-0.3636505423862764', '0.09721419860929915', '0.08201786155119259', '1.1587794101363447', 'data/sessions/aruco_session_20251107_075407/frames/f000077.jpg']
2025-11-07 13:54:27 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523655.288082', '78', '2', '-3.1710367789527294', '-0.015460686671921294', '-0.3427867760565181', '0.09674290931752998', '0.08137385553246376', '1.146794234796716', 'data/sessions/aruco_session_20251107_075407/frames/f000078.jpg']
2025-11-07 13:54:28 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523655.377600', '79', '2', '3.089992772384042', '-0.0014197222486662326', '-0.367722482993745', '0.1000501777480902', '0.08447539855710112', '1.187381821992956', 'data/sessions/aruco_session_20251107_075407/frames/f000079.jpg']
